m_barabasi_albert,red_ratio,mafia_win_rate
7,0.99,0.44
7,1.0,0.43
8,0.01,0.73
8,0.02,0.65
8,0.03,0.76
8,0.04,0.61
8,0.05,0.66
8,0.06,0.68
8,0.07,0.63
8,0.08,0.62
8,0.09,0.65
8,0.1,0.67
8,0.11,0.68
8,0.12,0.66
8,0.13,0.74
8,0.14,0.74
8,0.15,0.7
8,0.16,0.7
8,0.17,0.7
8,0.18,0.69
8,0.19,0.64
8,0.2,0.69
8,0.21,0.68
8,0.22,0.69
8,0.23,0.67
8,0.24,0.7
8,0.25,0.65
8,0.26,0.73
8,0.27,0.72
8,0.28,0.67
8,0.29,0.72
8,0.3,0.6
8,0.31,0.65
8,0.32,0.65
8,0.33,0.65
8,0.34,0.67
8,0.35,0.7
8,0.36,0.69
8,0.37,0.72
8,0.38,0.61
8,0.39,0.66
8,0.4,0.68
8,0.41,0.61
8,0.42,0.58
8,0.43,0.66
8,0.44,0.73
8,0.45,0.67
8,0.46,0.71
8,0.47,0.7
8,0.48,0.67
8,0.49,0.63
8,0.5,0.64
8,0.51,0.68
8,0.52,0.6
8,0.53,0.65
8,0.54,0.68
8,0.55,0.69
8,0.56,0.62
8,0.57,0.54
8,0.58,0.6
8,0.59,0.58
8,0.6,0.73
8,0.61,0.67
8,0.62,0.62
8,0.63,0.48
8,0.64,0.63
8,0.65,0.68
8,0.66,0.61
8,0.67,0.5
8,0.68,0.6
8,0.69,0.54
8,0.7,0.6
8,0.71,0.52
8,0.72,0.54
8,0.73,0.57
8,0.74,0.68
8,0.75,0.59
8,0.76,0.49
8,0.77,0.55
8,0.78,0.54
8,0.79,0.47
8,0.8,0.55
8,0.81,0.37
8,0.82,0.45
8,0.83,0.56
8,0.84,0.5
8,0.85,0.57
8,0.86,0.54
8,0.87,0.46
8,0.88,0.53
8,0.89,0.53
8,0.9,0.54
8,0.91,0.48
8,0.92,0.41
8,0.93,0.43
8,0.94,0.46
8,0.95,0.38
8,0.96,0.35
8,0.97,0.41
8,0.98,0.48
8,0.99,0.49
8,1.0,0.35
9,0.01,0.61
9,0.02,0.63
9,0.03,0.65
9,0.04,0.6
9,0.05,0.62
9,0.06,0.62
9,0.07,0.6
9,0.08,0.66
9,0.09,0.7
9,0.1,0.73
9,0.11,0.65
9,0.12,0.65
9,0.13,0.69
9,0.14,0.72
9,0.15,0.68
9,0.16,0.68
9,0.17,0.64
9,0.18,0.58
9,0.19,0.74
9,0.2,0.6
9,0.21,0.73
9,0.22,0.67
9,0.23,0.61
9,0.24,0.71
9,0.25,0.75
9,0.26,0.69
9,0.27,0.63
9,0.28,0.71
9,0.29,0.74
9,0.3,0.64
9,0.31,0.69
9,0.32,0.71
9,0.33,0.74
9,0.34,0.74
9,0.35,0.73
9,0.36,0.72
9,0.37,0.7
9,0.38,0.67
9,0.39,0.68
9,0.4,0.65
9,0.41,0.71
9,0.42,0.71
9,0.43,0.6
9,0.44,0.6
9,0.45,0.64
9,0.46,0.56
9,0.47,0.75
9,0.48,0.61
9,0.49,0.73
9,0.5,0.64
9,0.51,0.62
9,0.52,0.62
9,0.53,0.55
9,0.54,0.66
9,0.55,0.63
9,0.56,0.6
9,0.57,0.63
9,0.58,0.63
9,0.59,0.64
9,0.6,0.61
9,0.61,0.64
9,0.62,0.62
9,0.63,0.61
9,0.64,0.64
9,0.65,0.7
9,0.66,0.49
9,0.67,0.67
9,0.68,0.62
9,0.69,0.61
9,0.7,0.51
9,0.71,0.65
9,0.72,0.55
9,0.73,0.66
9,0.74,0.55
9,0.75,0.54
9,0.76,0.54
9,0.77,0.56
9,0.78,0.48
9,0.79,0.54
9,0.8,0.54
9,0.81,0.49
9,0.82,0.47
9,0.83,0.56
9,0.84,0.48
9,0.85,0.39
9,0.86,0.52
9,0.87,0.44
9,0.88,0.48
9,0.89,0.39
9,0.9,0.48
9,0.91,0.37
9,0.92,0.5
9,0.93,0.48
9,0.94,0.52
9,0.95,0.48
9,0.96,0.4
9,0.97,0.38
9,0.98,0.4
9,0.99,0.43
9,1.0,0.5
10,0.01,0.67
10,0.02,0.61
10,0.03,0.72
10,0.04,0.68
10,0.05,0.59
10,0.06,0.63
10,0.07,0.59
10,0.08,0.68
10,0.09,0.62
10,0.1,0.65
10,0.11,0.73
10,0.12,0.79
10,0.13,0.66
10,0.14,0.65
10,0.15,0.66
10,0.16,0.59
10,0.17,0.59
10,0.18,0.65
10,0.19,0.64
10,0.2,0.64
10,0.21,0.67
10,0.22,0.7
10,0.23,0.61
10,0.24,0.67
10,0.25,0.71
10,0.26,0.72
10,0.27,0.69
10,0.28,0.61
10,0.29,0.66
10,0.3,0.6
10,0.31,0.75
10,0.32,0.62
10,0.33,0.65
10,0.34,0.73
10,0.35,0.66
10,0.36,0.62
10,0.37,0.74
10,0.38,0.7
10,0.39,0.65
10,0.4,0.61
10,0.41,0.69
10,0.42,0.72
10,0.43,0.67
10,0.44,0.72
10,0.45,0.69
10,0.46,0.69
10,0.47,0.63
10,0.48,0.66
10,0.49,0.73
10,0.5,0.65
10,0.51,0.71
10,0.52,0.66
10,0.53,0.63
10,0.54,0.68
10,0.55,0.63
10,0.56,0.72
10,0.57,0.53
10,0.58,0.65
10,0.59,0.68
10,0.6,0.55
10,0.61,0.62
10,0.62,0.65
10,0.63,0.6
10,0.64,0.74
10,0.65,0.64
10,0.66,0.68
10,0.67,0.63
10,0.68,0.61
10,0.69,0.54
10,0.7,0.59
10,0.71,0.59
10,0.72,0.64
10,0.73,0.59
10,0.74,0.6
10,0.75,0.61
10,0.76,0.59
10,0.77,0.57
10,0.78,0.6
10,0.79,0.46
10,0.8,0.53
10,0.81,0.54
10,0.82,0.49
10,0.83,0.49
10,0.84,0.54
10,0.85,0.48
10,0.86,0.53
10,0.87,0.51
10,0.88,0.49
10,0.89,0.51
10,0.9,0.51
10,0.91,0.49
10,0.92,0.52
10,0.93,0.38
10,0.94,0.51
10,0.95,0.51
10,0.96,0.44
10,0.97,0.42
10,0.98,0.46
10,0.99,0.43
10,1.0,0.42
11,0.01,0.66
11,0.02,0.62
11,0.03,0.64
11,0.04,0.58
11,0.05,0.6
11,0.06,0.63
11,0.07,0.66
11,0.08,0.67
11,0.09,0.6
11,0.1,0.6
11,0.11,0.65
11,0.12,0.66
11,0.13,0.63
11,0.14,0.56
11,0.15,0.59
11,0.16,0.58
11,0.17,0.55
11,0.18,0.6
11,0.19,0.58
11,0.2,0.67
11,0.21,0.63
11,0.22,0.66
11,0.23,0.72
11,0.24,0.65
11,0.25,0.67
11,0.26,0.72
11,0.27,0.68
11,0.28,0.69
11,0.29,0.61
11,0.3,0.67
11,0.31,0.69
11,0.32,0.73
11,0.33,0.67
11,0.34,0.72
11,0.35,0.8
